,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
35,Mercedes-Benz,190-Class,1993,regular unleaded,158,6,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
36,BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,32850
37,BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,Convertible,34,23,3916,38650
38,BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750
39,BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,34850
40,BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,34,22,3916,40650
41,BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150
42,BMW,2 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,34,22,3916,32850
43,BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150
44,BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750
45,BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450
46,BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050
47,BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050
48,BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450
49,BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,34,23,3916,38950
50,BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,24,3916,33150
51,BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,33,24,3916,35150
52,BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,33,23,3916,40950
53,Audi,200,1990,regular unleaded,162,5,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000
54,Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4.0,Luxury,Midsize,Wagon,22,15,3105,2000
55,Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,23,15,3105,2000
56,Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,22,16,3105,2000
57,Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Wagon,22,16,3105,2000
58,Audi,200,1991,regular unleaded,162,5,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000
59,Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25170
60,Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,23950
61,Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29370
62,Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
63,Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,36,23,1013,26625
64,Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,30825
65,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
66,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795
67,Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,31785
68,Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29905
69,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490
70,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27570
71,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690
72,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490
73,Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,29905
74,Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,31785
75,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,26685
76,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490
77,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690
78,Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,30900
79,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795
80,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
81,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490
82,Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2.0,Unknown,Compact,Coupe,36,26,2009,2000
83,Nissan,200SX,1996,regular unleaded,140,4,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000
84,Nissan,200SX,1997,regular unleaded,140,4,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000
85,Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2.0,Unknown,Compact,Coupe,35,25,2009,2000
86,Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2.0,Unknown,Compact,Coupe,35,25,2009,2000
87,Nissan,200SX,1998,regular unleaded,140,4,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,28,20,2009,2073
88,Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3713
89,Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3520
90,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3910
91,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4182
92,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4107
93,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4299
94,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4693
95,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4107
96,Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000
97,Volvo,240,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,23,18,870,2000
98,Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
99,Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
100,Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000
101,Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
102,Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,25,18,870,2000
103,Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16020
104,Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14530
105,Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,16860
106,Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15370
107,Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050
108,Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560
109,Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210
110,Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720
111,Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050
112,Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560
113,Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210
114,Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720
115,BMW,3 Series Gran Turismo,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,47250
116,BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
117,BMW,3 Series Gran Turismo,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916,43000
118,BMW,3 Series Gran Turismo,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49200
119,BMW,3 Series Gran Turismo,2017,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49650
120,BMW,3 Series Gran Turismo,2017,premium unleaded (required),248,4,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23,3916,43950
121,BMW,3 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,22,3916,41950
122,BMW,3 Series,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150
123,BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
124,BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,43750
125,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000
126,BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500
127,BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,34950
128,BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,30,20,3916,45750
129,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450
130,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000
131,BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,32950
132,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,41850
133,BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800
134,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,39850
135,BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
136,BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,34,22,3916,40350
137,BMW,3 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
138,BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,34,22,3916,42650
139,BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,33150
140,BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,35150
141,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44150
142,BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800
143,BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,23,3916,38750
144,BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,34,23,3916,35450
145,BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,33450
146,BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,23,3916,40750
147,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,42250
148,BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,23,3916,42950
149,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,40250
150,BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,21,3916,49900
151,BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,47900
152,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44450
153,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2232
154,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000
155,Mercedes-Benz,300-Class,1991,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,17,617,2000
156,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,20,15,617,2105
157,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,18,15,617,2199
158,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,617,2000
159,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2124
160,Mercedes-Benz,300-Class,1991,regular unleaded,228,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,14,617,3552
161,Mercedes-Benz,300-Class,1991,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,22,15,617,2179
162,Mercedes-Benz,300-Class,1991,diesel,121,5,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000
163,Mercedes-Benz,300-Class,1992,diesel,121,5,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,29,23,617,2000
164,Mercedes-Benz,300-Class,1992,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,17,14,617,2377
165,Mercedes-Benz,300-Class,1992,regular unleaded,228,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,15,617,3814
166,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,19,15,617,2207
167,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000
168,Mercedes-Benz,300-Class,1992,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,21,15,617,2248
169,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,617,2065
170,Mercedes-Benz,300-Class,1992,diesel,148,6,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Large,Sedan,22,18,617,2547
171,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,18,15,617,2282
172,Mercedes-Benz,300-Class,1992,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,23,18,617,2000
173,Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,19,15,617,2544
174,Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,22,17,617,2397
175,Mercedes-Benz,300-Class,1993,diesel,121,5,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000
176,Mercedes-Benz,300-Class,1993,regular unleaded,228,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,14,617,4174
177,Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,17,617,2187
178,Mercedes-Benz,300-Class,1993,diesel,148,6,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Large,Sedan,22,18,617,2729
179,Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,19,15,617,2433
180,Mercedes-Benz,300-Class,1993,regular unleaded,194,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,23,17,617,2247
181,Mercedes-Benz,300-Class,1993,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,18,14,617,2540
182,Mitsubishi,3000GT,1997,regular unleaded,218,6,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,23,17,436,3941
183,Mitsubishi,3000GT,1997,regular unleaded,161,6,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,22,17,436,3295
